
Host                                            Status       Expires      Days
----------------------------------------------- ------------ ------------ ----
bloomu.desire2learn.com:443                     Valid        Oct 24 2013  335                                
calu.desire2learn.com:443                       Valid        Jul 23 2013  242                                
cheyney.desire2learn.com:443                    Valid        Jul 23 2013  242                                
clarion.desire2learn.com:443                    Valid        Mar 23 2013  120                                
esu.desire2learn.com:443                        Valid        Jul 23 2013  242                                
eup.desire2learn.com:443                        Valid        Nov 11 2015  1083                               
iup.desire2learn.com:443                        Valid        May 26 2013  184                                
ku.desire2learn.com:443                         Valid        Apr 28 2014  521                                
lhu.desire2learn.com:443                        Valid        Jul 23 2013  242                                
mansfield.desire2learn.com:443                  Valid        Jul 23 2013  242                                
millersville.desire2learn.com:443               Valid        Jul 23 2013  242                                
passhe.desire2learn.com:443                     Valid        Jul 23 2013  242                                
ship.desire2learn.com:443                       Valid        Jun 7 2013   196                                
sru.desire2learn.com:443                        Valid        Jul 23 2013  242                                
wcupa.desire2learn.com:443                      Valid        Mar 28 2013  125                                
acc.desire2learn.com:443                        Valid        Jul 23 2013  242                                
cca.desire2learn.com:443                        Valid        Jul 23 2013  242                                
ccco.desire2learn.com:443                       Valid        Jul 23 2013  242                                
ccd.desire2learn.com:443                        Valid        Jul 23 2013  242                                
cncc.desire2learn.com:443                       Valid        Jul 23 2013  242                                
frcc.desire2learn.com:443                       Valid        Jul 23 2013  242                                
lcc.desire2learn.com:443                        Valid        Jul 23 2013  242                                
mcc.desire2learn.com:443                        Valid        Jul 23 2013  242                                
njc.desire2learn.com:443                        Valid        Jul 23 2013  242                                
ojc.desire2learn.com:443                        Valid        Jul 23 2013  242                                
pcc.desire2learn.com:443                        Valid        Jul 23 2013  242                                
ppcc.desire2learn.com:443                       Valid        Jul 23 2013  242                                
rrcc.desire2learn.com:443                       Valid        Jul 23 2013  242                                
tsjc.desire2learn.com:443                       Valid        Jul 23 2013  242                                
texas.pearson.desire2learn.com:443              Valid        Nov 4 2015   1076                               
jbllssb.desire2learn.com:443                    Valid        Oct 10 2013  321                                
kcdsb.desire2learn.com:443                      Valid        Oct 10 2013  321                                
kpdsb.desire2learn.com:443                      Valid        Oct 10 2013  321                                
kprdsb.desire2learn.com:443                     Valid        Oct 10 2013  321                                
ldcsb.desire2learn.com:443                      Valid        Jul 23 2013  242                                
ldsb.desire2learn.com:443                       Valid        Oct 10 2013  321                                
