
Host                                            Status       Expires      Days
----------------------------------------------- ------------ ------------ ----
bloomu.desire2learn.com:443                     Valid        Oct 24 2013  360                                
calu.desire2learn.com:443                       Valid        Jul 23 2013  267                                
cheyney.desire2learn.com:443                    Valid        Jul 23 2013  267                                
clarion.desire2learn.com:443                    Valid        Mar 23 2013  145                                
esu.desire2learn.com:443                        Valid        Jul 23 2013  267                                
eup.desire2learn.com:443                        Valid        Nov 11 2015  1108                               
iup.desire2learn.com:443                        Valid        May 26 2013  209                                
ku.desire2learn.com:443                         Valid        Apr 28 2014  546                                
lhu.desire2learn.com:443                        Valid        Jul 23 2013  267                                
mansfield.desire2learn.com:443                  Valid        Jul 23 2013  267                                
millersville.desire2learn.com:443               Valid        Jul 23 2013  267                                
passhe.desire2learn.com:443                     Valid        Jul 23 2013  267                                
ship.desire2learn.com:443                       Valid        Jun 7 2013   221                                
sru.desire2learn.com:443                        Valid        Jul 23 2013  267                                
wcupa.desire2learn.com:443                      Valid        Mar 28 2013  150                                
acc.desire2learn.com:443                        Valid        Jul 23 2013  267                                
cca.desire2learn.com:443                        Valid        Jul 23 2013  267                                
ccco.desire2learn.com:443                       Valid        Jul 23 2013  267                                
ccd.desire2learn.com:443                        Valid        Jul 23 2013  267                                
cncc.desire2learn.com:443                       Valid        Jul 23 2013  267                                
frcc.desire2learn.com:443                       Valid        Jul 23 2013  267                                
lcc.desire2learn.com:443                        Valid        Jul 23 2013  267                                
mcc.desire2learn.com:443                        Valid        Jul 23 2013  267                                
njc.desire2learn.com:443                        Valid        Jul 23 2013  267                                
ojc.desire2learn.com:443                        Valid        Jul 23 2013  267                                
pcc.desire2learn.com:443                        Valid        Jul 23 2013  267                                
ppcc.desire2learn.com:443                       Valid        Jul 23 2013  267                                
rrcc.desire2learn.com:443                       Valid        Jul 23 2013  267                                
tsjc.desire2learn.com:443                       Valid        Jul 23 2013  267                                
texas.pearson.desire2learn.com:443              Valid        Nov 4 2015   1101                               
jbllssb.desire2learn.com:443                    Valid        Oct 10 2013  346                                
kcdsb.desire2learn.com:443                      Valid        Oct 10 2013  346                                
kpdsb.desire2learn.com:443                      Valid        Oct 10 2013  346                                
kprdsb.desire2learn.com:443                     Valid        Oct 10 2013  346                                
ldcsb.desire2learn.com:443                      Valid        Oct 10 2013  346                                
ldsb.desire2learn.com:443                       Valid        Oct 10 2013  346                                
lhbe.desire2learn.com:443                       Valid        Oct 10 2013  346                                
lkdsb.desire2learn.com:443                      Valid        Oct 10 2013  346                                
ncdsb.desire2learn.com:443                      Valid        Oct 10 2013  346                                
niagararc.desire2learn.com:443                  Valid        Oct 10 2013  346                                
nndsb.desire2learn.com:443                      Valid        Oct 10 2013  346                                
nouvelon.desire2learn.com:443                   Valid        Oct 16 2013  352                                
npsc.desire2learn.com:443                       Valid        Oct 10 2013  346                                
occdsb.desire2learn.com:443                     Valid        Oct 10 2013  346                                
ocdsbelo.desire2learn.com:443                   Valid        Oct 10 2013  346                                
oerb.desire2learn.com:443                       Valid        Oct 10 2013  346                                
pdsb.desire2learn.com:443                       Valid        Oct 10 2013  346                                
psb.desire2learn.com:443                        Valid        Oct 10 2013  346                                
pvnccdsb.desire2learn.com:443                   Valid        Oct 10 2013  346                                
rccdsb.desire2learn.com:443                     Valid        Oct 10 2013  346                                
rcdsb.desire2learn.com:443                      Valid        Oct 10 2013  346                                
rdsb.desire2learn.com:443                       Valid        Oct 10 2013  346                                
rrdsb.desire2learn.com:443                      Valid        Oct 10 2013  346                                
sccdsb.desire2learn.com:443                     Valid        Oct 10 2013  346                                
scdsb.desire2learn.com:443                      Valid        Oct 10 2013  346                                
smcdsb.desire2learn.com:443                     Valid        Oct 10 2013  346                                
sncdsb.desire2learn.com:443                     Valid        Oct 10 2013  346                                
srcdsb.desire2learn.com:443                     Valid        Oct 10 2013  346                                
tbcdsb.desire2learn.com:443                     Valid        Oct 10 2013  346                                
tcdsb.desire2learn.com:443                      Valid        Oct 10 2013  346                                
tcncdsb.desire2learn.com:443                    Valid        Oct 10 2013  346                                
tdsb.desire2learn.com:443                       Valid        Oct 10 2013  346                                
tldsb.desire2learn.com:443                      Valid        Oct 10 2013  346                                
tvdsb.desire2learn.com:443                      Valid        Oct 10 2013  346                                
ucdsb.desire2learn.com:443                      Valid        Oct 10 2013  346                                
ugdsb.desire2learn.com:443                      Valid        Oct 10 2013  346                                
wcdsb.desire2learn.com:443                      Valid        Oct 10 2013  346                                
wecdsb.desire2learn.com:443                     Valid        Oct 10 2013  346                                
online.pcc.edu:443                              Valid        Aug 2 2013   277                                
learn.daymarcollege.edu:443                     Valid        Dec 4 2012   36                                 
online.eaglegatecollege.edu:443                 Valid        Nov 9 2013   376                                
online.medixschool.ca:443                       Valid        Nov 28 2014  760                                
online.national.edu:443                         Valid        Jun 7 2015   951                                
welcdsb.desire2learn.com:443                    Valid        Oct 10 2013  346                                
wrdsb.desire2learn.com:443                      Valid        Oct 10 2013  346                                
ycdsb.desire2learn.com:443                      Valid        Oct 10 2013  346                                
accenture-authtest.desire2learn.com:443         Valid        Jul 23 2013  267                                
psutest.desire2learn.com:443                    Valid        Jul 23 2013  267                                
ncdes.desire2learn.com:443                      Expired      Feb 8 2009   -1359                               
nides.desire2learn.com:443                      Expired      Feb 8 2009   -1359                               
hrgworldwide.desire2learn.com:443               Valid        Jul 23 2013  267                                
cengage.cdi.desire2learn.com:443                Valid        Jul 23 2013  267                                
cengage.cds.desire2learn.com:443                Valid        Jul 23 2013  267                                
pearson.cds.desire2learn.com:443                Valid        Jul 23 2013  267                                
sfhl.desire2learn.com:443                       Valid        Jul 23 2013  267                                
cmabc.desire2learn.com:443                      Valid        Jul 23 2013  267                                
