"VCname","DCname","Clustername","Total Physical Memory (MB)","Configured Memory MB","Available Memory (MB)","Total CPU (Mhz)","Configured CPU (Mhz)","Available CPU (Mhz)","Total Disk Space (MB)","Configured Disk Space (MB)","Available Disk Space (MB)"
"ausyeqs08vc0001","AUSYEQ","AUSYEQ Production Cluster","524248.078125","298492","225756.078125","147200","12857","134343","2621440","2109344","512096"
"aumbngs08vc0001","AUMBNG","AUMBNG Production Cluster","524184.078125","81372","442812.078125","249600","2002","247598","1048576","275933","772643"
"hfvcs02","Verizon - Virtual DC","Dell-AMD-Cluster","2162538.29296875","1625547","536991.29296875","600000","225424","374576","93678080","38274113","55403967"
"hfvcs02","Verizon - Virtual DC","AMD-6200-Cluster","524236.0390625","218157","306079.0390625","140800","21684","119116","92654592","38272984","54381608"
"hfvcs02","Verizon - Virtual DC","Dell-Intel-Cluster","3538458.03515625","776290","2762168.03515625","396656","48643","348013","92654592","38272984","54381608"
"t1vcs02","T1 Bell Datacenter","Dell-AMD-Cluster","1933211.15625","872217","1060994.15625","667200","112328","554872","55293184","29311727","25981457"
"t1vcs02","T1 Bell Datacenter","UCS-Intel-Cluster","4193106.15625","3290412","902694.15625","372720","171376","201344","55293184","29311727","25981457"
"uk1pvcs001","UK","Mgmt Cluster","16374.14453125","12446","3928.14453125","17600","715","16885",,"0",
"uk1pvcs001","UK","Cluster","1572631.078125","532118","1040513.078125","185536","7087","178449",,"0",
"nl1pvcs001","NL","Mgmt","16374.14453125","15035","1339.14453125","17600","2604","14996",,"0",
"nl1pvcs001","NL","Cluster","1572631.078125","47367","1525264.078125","185536","734","184802",,"0",
"usabcps08vc0001","Ashburn, VA, Carpathia","US Hosting Cluster","131051.1875","77071","53980.1875","64000","2615","61385","1739776","802548","937228"
